## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=temp.bam OUTPUT=insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 01 02:25:18 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
260	261	35	2	66337314	262.113539	56.817624	239877	FR	15	27	41	55	71	89	111	139	183	223	363			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	1
11	1
17	2
18	2
19	198
20	117
21	92
22	28
23	19
24	12
25	8
26	11
27	14
28	4
29	9
30	7
31	4
32	5
33	4
34	3
35	5
36	5
37	4
38	5
39	2
40	9
41	14
42	7
43	9
44	7
45	6
46	3
47	3
48	3
49	9
50	7
51	9
52	1
53	6
54	16
55	7
56	14
57	3
58	18
59	7
60	7
61	3
62	8
63	9
64	3
65	8
66	6
67	14
68	10
69	11
70	14
71	14
72	15
73	9
74	14
75	15
76	20
77	14
78	15
79	19
80	22
81	9
82	9
83	14
84	22
85	22
86	31
87	18
88	20
89	20
90	19
91	20
92	23
93	22
94	21
95	37
96	22
97	25
98	29
99	35
100	27
101	38
102	34
103	27
104	15
105	19
106	34
107	19
108	16
109	20
110	22
111	29
112	23
113	18
114	20
115	34
116	34
117	30
118	17
119	20
120	15
121	27
122	28
123	33
124	29
125	29
126	31
127	30
128	26
129	36
130	28
131	40
132	19
133	30
134	21
135	25
136	44
137	22
138	24
139	18
140	17
141	154
142	154
143	132
144	162
145	152
146	157
147	176
148	202
149	189
150	172
151	188
152	218
153	226
154	186
155	239
156	225
157	228
158	274
159	234
160	257
161	251
162	277
163	321
164	324
165	339
166	321
167	359
168	385
169	418
170	370
171	417
172	422
173	439
174	470
175	444
176	472
177	534
178	519
179	565
180	564
181	512
182	629
183	573
184	664
185	636
186	650
187	640
188	668
189	671
190	690
191	734
192	763
193	786
194	788
195	785
196	805
197	853
198	873
199	900
200	870
201	914
202	937
203	991
204	997
205	1068
206	1073
207	1081
208	1064
209	1061
210	1161
211	1223
212	1229
213	1164
214	1264
215	1287
216	1222
217	1398
218	1467
219	1336
