## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=insert_size_histogram.pdf MINIMUM_PCT=0.5 INPUT=temp.bam OUTPUT=insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Feb 27 05:43:55 CST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
271	262	35	10	66843634	272.726783	56.08538	239645	FR	15	27	41	55	71	89	111	139	183	223	347			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
10	1
24	1
25	1
26	14
27	14
28	7
29	8
30	6
31	2
32	3
33	2
34	1
35	5
36	1
37	3
38	5
39	1
40	1
41	11
42	5
43	4
44	6
45	6
46	6
47	4
48	3
49	6
50	14
51	8
52	4
53	6
54	4
55	4
56	3
57	9
58	6
59	4
60	7
61	5
62	10
63	9
64	8
65	9
66	7
67	9
68	9
69	8
70	9
71	8
72	10
73	7
74	6
75	6
76	10
77	8
78	10
79	10
80	10
81	8
82	8
83	16
84	5
85	10
86	20
87	12
88	9
89	11
90	6
91	13
92	12
93	11
94	4
95	14
96	16
97	15
98	9
99	14
100	11
101	12
102	14
103	10
104	16
105	16
106	22
107	17
108	19
109	18
110	23
111	19
112	21
113	22
114	16
115	24
116	18
117	19
118	21
119	19
120	23
121	13
122	23
123	31
124	24
125	29
126	18
127	23
128	23
129	26
130	17
131	24
132	24
133	24
134	16
135	15
136	18
137	23
138	18
139	21
140	24
141	89
142	82
143	73
144	72
145	108
146	100
147	105
148	105
149	118
150	119
151	103
152	137
153	130
154	127
155	145
156	143
157	134
158	176
159	184
160	191
161	190
162	209
163	200
164	225
165	207
166	222
167	218
168	283
169	242
170	263
171	266
172	280
173	311
174	336
175	355
176	345
177	413
178	359
179	361
180	382
181	425
182	474
183	414
184	410
185	475
186	472
187	486
188	470
189	501
190	494
191	510
192	587
193	567
194	618
195	592
196	638
197	667
198	628
199	721
200	683
201	706
202	746
203	789
204	813
205	816
206	863
207	909
208	816
209	886
210	867
211	962
212	950
213	1006
214	990
215	1057
216	1075
217	1088
218	1219
219	1100
220	1178
221	1157
222	1141
223	1158
224	1204
225	1251
226	1274
227	1325
228	1345
229	1334
230	1358
231	1458
232	1328
233	1459
234	1475
235	1459
236	1573
237	1554
238	1569
239	1467
240	1582
241	1545
242	1621
243	1667
244	1674
245	1604
246	1715
247	1644
248	1737
249	1764
250	1777
251	1783
252	1732
253	1795
254	1770
255	1803
256	1806
257	1741
258	1802
259	1804
260	1872
261	1819
262	1929
263	1867
264	1809
265	1867
266	1805
267	1769
268	1898
269	1847
270	1866
271	1785
272	1818
273	1807
274	1808
275	1879
276	1841
277	1762
278	1831
279	1818
280	1721
281	1762
282	1708
283	1757
284	1697
285	1697
286	1694
287	1735
288	1703
289	1669
290	1651
291	1680
292	1653
293	1653
294	1646
295	1565
296	1581
297	1545
298	1492
299	1487
300	1436
301	1501
302	1461
303	1426
304	1450
305	1412
306	1382
307	1400
308	1307
309	1322
310	1306
311	1289
312	1224
313	1312
314	1218
315	1196
316	1187
317	1104
318	1073
319	1078
320	1113
321	1105
322	1017
323	986
324	1026
325	937
326	928
327	914
328	926
329	875
330	877
331	844
332	783
333	735
334	868
335	816
336	802
337	746
338	744
339	684
340	656
341	722
342	632
343	638
344	665
345	581
346	583
347	580
348	584
349	548
350	591
351	536
352	544
353	523
354	555
355	470
356	478
357	457
358	448
359	426
360	442
361	392
362	406
363	374
364	351
365	347
366	362
367	348
368	344
369	354
370	307
371	343
372	284
373	272
374	273
375	280
376	257
377	247
378	244
379	259
380	250
381	244
382	239
383	192
384	194
385	194
386	212
387	189
388	166
389	195
390	182
391	187
392	194
393	171
394	176
395	145
396	133
397	156
398	133
399	136
400	142
401	121
402	132
403	127
404	118
405	103
406	104
407	128
408	105
409	98
410	102
411	94
412	90
413	86
414	82
415	87
416	87
417	86
418	76
419	77
420	88
421	72
422	83
423	58
424	60
425	63
426	52
427	53
428	66
429	56
430	68
431	60
432	51
433	69
434	39
435	57
436	42
437	48
