No.	Accession	Region	Country	Province PRC	Longitude	Latitude	Biological status	Group in phylogenetic tree	Data Source
1	lz-1	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ñ	This study
2	lz-2	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ñ	This study
3	lz-3	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ó	This study
4	lz-4	East Asia	China	Heilongjiang	123.97 	47.33 	Pre-breeding line	Cluster ¢ó	This study
5	lz-5	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ô	This study
6	lz-6	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ô	This study
7	lz-7	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ò	This study
8	lz-8	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ñ	This study
9	lz-9	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ñ	This study
10	lz-10	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ò	This study
11	lz-11	East Asia	China	Neimenggu	111.65 	40.82 	Pre-breeding line	Cluster ¢ò	This study
12	lz-12	East Asia	China	Hebei	114.48 	38.03 	Pre-breeding line	Cluster ¢ñ	This study
13	lz-13	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
14	lz-14	East Asia	China	Liaoning	123.38 	41.80 	Pre-breeding line	Cluster ¢ñ	This study
15	lz-15	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
16	lz-16	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
17	lz-17	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ñ	This study
18	lz-18	East Asia	China	Shandong	117.00 	36.65 	Pre-breeding line	Cluster ¢ó	This study
19	lz-19	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
20	lz-20	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ñ	This study
21	lz-21	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
22	lz-22	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
23	lz-23	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ñ	This study
24	lz-24	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
25	lz-25	East Asia	China	Shanxi	112.53 	37.87 	Pre-breeding line	Cluster ¢ò	This study
26	lz-26	East Asia	China	Shaanxi	109.29 	37.96 	Breeding line	Cluster ¢ó	This study
27	lz-27	East Asia	China	Beijing	116.46 	39.92 	Breeding line	Cluster ¢ô	This study
28	lz-28	East Asia	China	Shaanxi	109.29 	37.96 	Pre-breeding line	Cluster ¢ò	This study
29	lz-29	East Asia	China	Henan	113.38 	34.79 	Pre-breeding line	Cluster ¢ó	This study
30	lz-30	East Asia	China	Henan	114.83 	31.62 	Pre-breeding line	Cluster ¢ó	This study
31	lz-32	East Asia	China	Henan	113.99 	32.97 	Pre-breeding line	Cluster ¢ó	This study
32	lz-33	East Asia	China	Henan	113.36 	33.63 	Pre-breeding line	Cluster ¢ó	This study
